Time,Utot,TinH2,TinAIR,ToutH2,TinWAT,I,PoutAIR,HrAIRFC,ToutAIR
1.963203028,3.3307,24.8076,43.2042,37.5956,53.7153,69.9873,1265.8231,52.0028,51.214
2.063880056,3.3306,24.8188,43.1899,37.5981,53.7137,69.9873,1266.4149,52.0103,51.2052
2.164557306,3.3303,24.8267,43.1712,37.6215,53.7053,69.9859,1266.4547,52.0219,51.2027
2.2652345,3.3303,24.8348,43.1668,37.6069,53.7007,69.985,1266.4717,52.0355,51.2016
2.365911583,3.33,24.8454,43.181,37.6407,53.6972,69.9845,1265.9994,52.0398,51.2016
2.466588667,3.3294,24.8526,43.2076,37.5893,53.7005,69.9864,1266.0564,52.0391,51.2107
2.567265778,3.3287,24.8572,43.2092,37.5915,53.703,69.9903,1265.7321,52.0159,51.2079
2.667942917,3.3285,24.8613,43.2039,37.6474,53.7038,69.9927,1265.533,52.0089,51.2117
2.768619861,3.3283,24.8623,43.1861,37.6677,53.7053,69.9932,1265.7094,52.0179,51.2064
2.869297083,3.3282,24.8605,43.1901,37.703,53.7003,69.9922,1265.6695,52.0156,51.2127
2.969974194,3.3279,24.8587,43.2101,37.6974,53.6942,69.9946,1265.55,52.03,51.2199
3.070651306,3.3276,24.855,43.2303,37.6896,53.6806,69.996,1265.1915,52.0647,51.2143
3.171328389,3.3275,24.8507,43.2206,37.6641,53.6923,69.9974,1265.4647,52.0321,51.213
3.272005528,3.3271,24.847,43.1998,37.663,53.6882,69.9983,1265.2656,52.0179,51.2057
3.372682778,3.3269,24.8393,43.1935,37.6617,53.6922,70.0007,1265.6298,52.0193,51.2021
3.473359944,3.3272,24.8333,43.1916,37.659,53.6921,70.0002,1265.7493,52.0052,51.2041
3.574036972,3.3277,24.8264,43.1926,37.6578,53.6876,70.0027,1265.8062,52.0248,51.1848
3.674714139,3.3278,24.8209,43.1857,37.704,53.6893,70.0022,1265.8574,52.02,51.1829
3.775391389,3.3276,24.8164,43.1976,37.719,53.6905,70.0051,1265.5558,52.0102,51.1864
3.876068389,3.3277,24.8107,43.1935,37.6972,53.685,70.009,1265.6355,51.9727,51.1858
3.976745528,3.3271,24.8064,43.2026,37.6738,53.697,70.011,1265.6697,51.9805,51.1798
4.077422694,3.3263,24.7994,43.2013,37.6751,53.7079,70.0135,1265.6924,51.9224,51.1851
4.1781,3.3266,24.7921,43.2055,37.6419,53.7067,70.016,1265.6696,51.9134,51.1874
4.278777222,3.3261,24.7821,43.2044,37.6807,53.7102,70.018,1265.9541,51.9212,51.1906
4.379454306,3.3263,24.7749,43.2044,37.6996,53.7126,70.0175,1265.8915,51.9128,51.1963
4.480131722,3.3258,24.767,43.2,37.7024,53.7219,70.0195,1265.6809,51.9275,51.1941
4.580809111,3.3251,24.7594,43.2062,37.7293,53.7289,70.0165,1265.6183,51.9229,51.2125
4.681488333,3.3246,24.7523,43.2148,37.6473,53.7137,70.0175,1265.5386,51.928,51.2209
4.782166528,3.3241,24.7469,43.2048,37.6309,53.7131,70.0165,1265.6751,51.9172,51.2286
4.882844056,3.3234,24.746,43.1912,37.6393,53.7414,70.0165,1265.7434,51.9253,51.2207
4.98352125,3.3233,24.7485,43.1742,37.6369,53.7532,70.0184,1265.8799,51.9199,51.2317
5.0841985,3.3236,24.7537,43.1748,37.6449,53.7639,70.0174,1265.9255,51.9513,51.2501
5.184875722,3.3233,24.7615,43.1897,37.6847,53.7672,70.0174,1266.1133,51.9784,51.2632
5.285552833,3.3234,24.7746,43.2096,37.6629,53.7737,70.0164,1266.0109,51.9805,51.2727
5.386229917,3.3227,24.7905,43.1959,37.6411,53.7678,70.0194,1266.1646,51.9966,51.2715
5.48690675,3.3228,24.8065,43.1944,37.6401,53.727,70.0194,1266.3467,52.0322,51.2797
5.587583833,3.3228,24.8241,43.1961,37.6295,53.7284,70.0209,1266.5345,52.0524,51.2832
5.688258861,3.3228,24.839,43.1933,37.6165,53.7498,70.0204,1266.6995,52.0452,51.2849
5.788934917,3.3228,24.8551,43.1923,37.6595,53.7489,70.0224,1266.6199,52.068,51.2826
5.889611667,3.3227,24.871,43.1833,37.6847,53.7419,70.0214,1266.3297,52.0781,51.2927
5.990288778,3.323,24.8837,43.1776,37.7091,53.7305,70.0195,1266.0167,52.0864,51.2822
6.090965889,3.3228,24.8973,43.1657,37.7302,53.7241,70.019,1266.0793,52.0884,51.2764
6.191642778,3.3222,24.9105,43.1524,37.7574,53.7172,70.0185,1265.9826,52.0842,51.2702
6.292319889,3.322,24.9218,43.1441,37.7497,53.7202,70.0195,1265.8289,52.0747,51.2738
6.392997028,3.3219,24.9276,43.1635,37.7439,53.7145,70.017,1265.6183,52.0984,51.2835
6.49367425,3.3219,24.9325,43.1797,37.7549,53.7422,70.0189,1265.5329,52.0904,51.2761
6.594351306,3.3219,24.9358,43.1852,37.7415,53.7258,70.0204,1265.6922,52.1084,51.2607
6.695028472,3.3218,24.9405,43.1896,37.7408,53.7151,70.0224,1265.5727,52.1537,51.2612
6.795705583,3.3214,24.9452,43.1928,37.7315,53.7097,70.0229,1265.5385,52.1501,51.2534
6.896382944,3.3215,24.9458,43.2035,37.6817,53.7154,70.0239,1265.8515,52.1416,51.2558
6.997060056,3.3208,24.9455,43.2135,37.6435,53.712,70.0244,1265.715,52.1619,51.2552
7.097737139,3.3203,24.9438,43.2176,37.6246,53.7164,70.0264,1265.567,52.1301,51.2442
7.198414278,3.3198,24.9413,43.2185,37.6019,53.7153,70.0279,1265.1914,52.1425,51.2427
7.299091472,3.3193,24.9372,43.2152,37.608,53.7057,70.0294,1265.4816,52.1691,51.2396
7.399768639,3.3192,24.9351,43.2091,37.5808,53.7199,70.0294,1265.4588,52.1445,51.2422
7.500445778,3.3183,24.935,43.19,37.5898,53.7281,70.0275,1265.2255,52.118,51.2431
7.601122944,3.3177,24.9366,43.1776,37.6086,53.7339,70.027,1265.2312,52.1144,51.2511
7.701800222,3.3172,24.9381,43.1729,37.605,53.7454,70.0275,1265.4418,52.071,51.2612
7.8024775,3.3173,24.9393,43.1908,37.5822,53.7509,70.0265,1265.4987,52.086,51.2703
7.903154444,3.3169,24.9415,43.2114,37.6006,53.7392,70.0265,1265.345,52.1313,51.2655
8.003831611,3.3167,24.9436,43.21,37.6172,53.747,70.027,1265.4189,52.0982,51.2769
8.104508722,3.317,24.9461,43.2152,37.6261,53.7392,70.0289,1265.4758,52.1201,51.2993
8.205186,3.3173,24.9504,43.2218,37.6351,53.7407,70.0298,1265.5213,52.1216,51.2952
8.305863167,3.3172,24.955,43.24,37.633,53.7434,70.0288,1265.5726,52.1193,51.2917
8.406540417,3.3169,24.9579,43.258,37.6531,53.7352,70.0322,1265.6865,52.1451,51.282
8.5072175,3.3171,24.9606,43.2797,37.6436,53.7356,70.0336,1265.9369,52.1745,51.2784
8.607894611,3.3171,24.9624,43.2926,37.6874,53.7384,70.0355,1266.0052,52.1357,51.2818
8.708571639,3.3169,24.9628,43.2978,37.6889,53.7286,70.0345,1265.8231,52.1388,51.2708
8.809249194,3.3163,24.9619,43.2845,37.741,53.7175,70.0345,1265.6922,52.1422,51.2659
8.909926333,3.3165,24.9597,43.2744,37.7759,53.7299,70.0374,1265.6979,52.1077,51.2815
9.010603444,3.3163,24.9563,43.2831,37.786,53.7204,70.0379,1265.9768,52.1371,51.2705
9.111280694,3.3156,24.9527,43.2845,37.7823,53.7274,70.0365,1266.0849,52.1416,51.2644
9.211957667,3.3156,24.9475,43.2816,37.7592,53.7276,70.0361,1266.0963,52.1141,51.27
9.312634722,3.3157,24.9435,43.2851,37.7474,53.7313,70.038,1265.9312,52.1087,51.2686
9.413311778,3.3152,24.9392,43.2831,37.7415,53.7311,70.038,1265.9482,52.0971,51.2675
9.513988972,3.3149,24.9368,43.2722,37.7579,53.7222,70.0371,1265.988,52.0793,51.2759
9.614666139,3.3148,24.9341,43.2599,37.7133,53.7201,70.0366,1266.0108,52.0893,51.2737
9.715345167,3.3148,24.9313,43.2463,37.769,53.7288,70.0376,1266.1758,52.0748,51.2856
9.816022306,3.315,24.9272,43.2559,37.7138,53.737,70.0391,1266.3295,52.0929,51.2822
9.916699444,3.3141,24.9251,43.2698,37.662,53.7325,70.0386,1266.3636,52.113,51.2697
10.01737661,3.3143,24.9248,43.2724,37.6244,53.7467,70.0386,1265.9652,52.0909,51.2766
10.11805372,3.3139,24.925,43.2753,37.6026,53.7438,70.04,1265.7604,52.1054,51.2672
10.21873089,3.3138,24.9265,43.2774,37.6658,53.7404,70.0409,1265.7433,52.1467,51.2646
10.31940806,3.3137,24.9247,43.2685,37.7076,53.7429,70.0419,1265.7263,52.1269,51.2722
10.42008531,3.3139,24.9255,43.2704,37.7276,53.749,70.0424,1265.5613,52.1166,51.279
10.52076247,3.3135,24.9247,43.268,37.7477,53.7505,70.0438,1265.6353,52.1206,51.2701
10.62143961,3.3132,24.9253,43.2618,37.7607,53.745,70.0443,1265.3792,52.1293,51.2629
10.72211489,3.3134,24.927,43.2736,37.732,53.7462,70.0452,1265.4817,52.1533,51.252
10.8227915,3.3134,24.9303,43.2843,37.7644,53.7418,70.0461,1265.7947,52.1622,51.2518
10.92346894,3.3135,24.9326,43.2774,37.8107,53.7376,70.0466,1265.6866,52.1673,51.2402
11.02414611,3.3136,24.9326,43.2583,37.8396,53.7394,70.0475,1265.6525,52.1362,51.2387
11.12482333,3.314,24.9314,43.2424,37.8622,53.7381,70.0485,1265.7094,52.1387,51.2383
11.22550072,3.3136,24.9319,43.2429,37.8755,53.7344,70.0495,1265.6468,52.1379,51.2237
11.326178,3.3127,24.934,43.2536,37.8459,53.7229,70.0485,1265.8858,52.1724,51.2128
11.42685497,3.3125,24.936,43.2406,37.8654,53.7156,70.0461,1266.0394,52.1847,51.2019
11.52753206,3.3128,24.9386,43.2297,37.844,53.7234,70.0471,1265.8289,52.1733,51.2035
11.62820925,3.3126,24.9415,43.2288,37.8784,53.7284,70.0471,1265.9939,52.1806,51.2064
11.72888642,3.3122,24.9422,43.2376,37.869,53.7268,70.0476,1265.8402,52.179,51.1968
11.82956361,3.3123,24.9441,43.2304,37.8921,53.7361,70.0481,1265.6182,52.1286,51.2004
11.93024061,3.3122,24.9477,43.2272,37.8904,53.743,70.0472,1266.2157,52.1025,51.2171
12.03091781,3.3121,24.9526,43.2307,37.8971,53.7389,70.0477,1266.7165,52.136,51.219
12.13159483,3.3117,24.9569,43.2387,37.9096,53.7438,70.0458,1266.6653,52.133,51.224
12.23227189,3.3115,24.9583,43.2452,37.8685,53.7508,70.0434,1266.7962,52.1041,51.2454
12.33294889,3.3118,24.9589,43.2402,37.863,53.7614,70.0434,1266.3409,52.0784,51.2527
12.43362608,3.3114,24.9612,43.2316,37.8567,53.7631,70.0444,1266.2556,52.0816,51.2571
12.53430322,3.3109,24.961,43.2327,37.8238,53.7614,70.0429,1266.2271,52.0759,51.2639
12.63498047,3.3106,24.9604,43.2507,37.7692,53.7491,70.0424,1266.2157,52.1194,51.2484
12.73565756,3.3102,24.9609,43.2516,37.8109,53.7466,70.0424,1266.0393,52.1219,51.2524
12.83633472,3.3099,24.9603,43.2414,37.8366,53.7444,70.0414,1266.0507,52.1291,51.2503
12.93701186,3.3102,24.9576,43.2264,37.8083,53.7397,70.0428,1265.237,52.1326,51.2418
13.03768903,3.3099,24.9559,43.2321,37.8422,53.6654,70.0428,1264.8045,52.1649,51.238
13.13836647,3.3099,24.9551,43.244,37.8792,53.6615,70.0437,1264.8955,52.1516,51.2299
13.23904342,3.3098,24.9551,43.2575,37.8943,53.6622,70.0442,1264.924,52.191,51.2227
13.33972083,3.3096,24.9589,43.2523,37.9382,53.6571,70.0447,1265.2939,52.2113,51.2259
13.44039831,3.31,24.9596,43.2494,37.9443,53.6664,70.0451,1265.0435,52.1836,51.229
13.54107622,3.3099,24.9616,43.2566,37.962,53.6717,70.0456,1265.1118,52.2035,51.2314
13.64175331,3.3102,24.9616,43.2571,38.0077,53.6936,70.0461,1265.2029,52.166,51.2556
13.74243039,3.31,24.963,43.2529,37.9714,53.6971,70.0461,1265.3452,52.1605,51.2632
13.84310753,3.3097,24.9628,43.2429,37.9304,53.7018,70.0466,1265.3225,52.1568,51.2702
13.94378461,3.3092,24.9645,43.2614,37.959,53.7106,70.0466,1265.7891,52.1584,51.2848
14.04446208,3.3089,24.9684,43.2738,37.9025,53.7856,70.0452,1266.1647,52.1386,51.2851
14.14513903,3.3091,24.9718,43.2718,37.8854,53.7909,70.0457,1266.4891,52.1428,51.2949
14.24581639,3.3093,24.9763,43.2461,37.9148,53.7913,70.0481,1266.5175,52.0956,51.2935
14.34649342,3.3097,24.9767,43.2446,37.9017,53.7923,70.0476,1266.2273,52.0934,51.2915
14.44717025,3.3094,24.9777,43.2614,37.9048,53.7898,70.0491,1266.4322,52.1104,51.2914
14.54784667,3.3096,24.9783,43.2617,37.908,53.7915,70.0501,1266.1477,52.0842,51.292
14.64852372,3.3094,24.9812,43.2548,37.881,53.7751,70.0511,1265.977,52.1159,51.2804
14.74920089,3.3096,24.9821,43.2375,37.9328,53.7677,70.0511,1266.0168,52.1128,51.2713
14.84987797,3.3095,24.9838,43.2385,37.8798,53.7624,70.0526,1265.994,52.1322,51.2648
14.95055511,3.3096,24.983,43.2395,37.88,53.7558,70.0526,1265.9428,52.1508,51.255
15.05123183,3.309,24.9821,43.2321,37.9384,53.742,70.0545,1265.7834,52.1559,51.2592
15.15190892,3.3085,24.9822,43.2329,37.9076,53.7284,70.055,1265.5216,52.1893,51.2491
15.252586,3.3082,24.9778,43.2398,37.826,53.7323,70.0545,1265.3737,52.2033,51.2518
15.35326317,3.3076,24.9811,43.2341,37.8435,53.7306,70.055,1265.5046,52.1937,51.2457
15.45394033,3.3073,24.9818,43.2412,37.8397,53.7242,70.054,1265.3907,52.2118,51.2392
15.55461764,3.3071,24.9812,43.2479,37.8701,53.7217,70.0535,1265.5443,52.2061,51.2331
15.65529481,3.3072,24.9784,43.2439,37.8614,53.7267,70.054,1265.567,52.1761,51.2342
15.75597203,3.3073,24.9756,43.2514,37.8338,53.7357,70.054,1265.8231,52.1653,51.2479
15.85664922,3.3075,24.9748,43.263,37.8732,53.7358,70.053,1265.8288,52.1706,51.249
15.95732633,3.3071,24.9768,43.2625,37.8837,53.7349,70.053,1265.7776,52.1502,51.2552
16.05800344,3.3071,24.9752,43.2625,37.8331,53.7508,70.053,1265.7037,52.1487,51.2552
16.15868053,3.3072,24.9735,43.2585,37.8288,53.7539,70.0525,1265.6411,52.1485,51.2539
16.25935772,3.307,24.9767,43.2742,37.9036,53.7465,70.052,1265.8744,52.1733,51.2537
16.36003467,3.3071,24.9704,43.2716,37.9039,53.7506,70.0515,1265.863,52.1689,51.2593
16.46071186,3.3069,24.9697,43.2477,37.8881,53.7572,70.0525,1266.1988,52.1114,51.2668
16.56138889,3.3064,24.969,43.2311,37.8693,53.7481,70.053,1266.25,52.1388,51.2654
16.66206614,3.3062,24.9698,43.2418,37.8769,53.7524,70.0525,1266.0452,52.1371,51.27
16.76274356,3.3058,24.9715,43.2554,37.8444,53.7558,70.0525,1265.5785,52.1681,51.2754
16.86342069,3.3052,24.9766,43.2548,37.8795,53.7624,70.0525,1265.6183,52.1369,51.282
16.96409792,3.3049,24.9783,43.2392,37.8479,53.7697,70.052,1265.4476,52.1267,51.2849
17.06477517,3.3053,24.9815,43.2406,37.8538,53.7634,70.0515,1265.5102,52.1036,51.2848
17.16545247,3.3049,24.9847,43.2512,37.8417,53.7712,70.052,1265.5444,52.0717,51.2982
17.26612953,3.305,24.9861,43.2471,37.7931,53.7855,70.052,1265.5558,52.0431,51.3056
17.36680675,3.3051,24.9923,43.2503,37.7539,53.7775,70.0525,1265.6696,52.036,51.3023
17.46748392,3.3051,24.9982,43.2552,37.8035,53.775,70.0525,1265.5558,52.0711,51.3001
17.56816106,3.305,25.0058,43.2773,37.8212,53.7861,70.0525,1265.4705,52.0738,51.3076
17.66883811,3.3051,25.0111,43.2787,37.8568,53.7855,70.053,1265.7777,52.0625,51.2877
17.769515,3.3046,25.0165,43.2772,37.8714,53.7737,70.054,1265.9997,52.0546,51.2712
17.87019219,3.3044,25.0195,43.2662,37.8346,53.7634,70.055,1265.9542,52.052,51.2659
17.97086931,3.3044,25.0245,43.2769,37.8431,53.762,70.056,1265.8916,52.0692,51.2618
18.07154642,3.3039,25.0284,43.2804,37.8839,53.7663,70.0565,1265.7834,52.0742,51.2658
18.17222356,3.3041,25.0318,43.2721,37.8918,53.7671,70.057,1265.9768,52.0873,51.2642
18.27290083,3.304,25.0323,43.2623,37.9359,53.7569,70.0575,1266.0052,52.0915,51.2576
18.37357803,3.3036,25.0318,43.2554,37.9596,53.7369,70.0585,1265.8971,52.1454,51.2678
18.47425517,3.3036,25.0262,43.2618,37.9413,53.744,70.0585,1265.6922,52.1291,51.2797
18.57493231,3.3041,25.0196,43.2626,37.947,53.7303,70.0585,1265.7946,52.1856,51.2663
18.67560947,3.3032,25.0146,43.2603,37.9135,53.7268,70.0585,1265.8743,52.1834,51.2897
18.77628667,3.3029,25.01,43.2505,37.9411,53.733,70.0575,1265.9995,52.1649,51.3012
18.87696378,3.3029,25.0019,43.263,37.9148,53.7245,70.0575,1266.1588,52.2138,51.2967
18.977641,3.3028,24.9929,43.2691,37.9145,53.7215,70.058,1266.4148,52.2102,51.2902
19.07831819,3.3025,24.984,43.2607,37.8832,53.7151,70.0585,1266.8303,52.2105,51.2837
19.17899528,3.3022,24.9727,43.2388,37.9055,53.7081,70.0585,1266.8816,52.1702,51.2856
19.27967233,3.302,24.9652,43.237,37.8649,53.7114,70.059,1266.8816,52.1718,51.2845
19.3803495,3.3016,24.9559,43.2558,37.8857,53.7346,70.059,1266.9954,52.1343,51.2731
19.48102675,3.301,24.9481,43.2693,37.8668,53.7291,70.059,1267.0694,52.1604,51.2457
19.58170394,3.3003,24.9414,43.2668,37.855,53.7363,70.059,1267.1434,52.1036,51.2538
19.68238114,3.3007,24.9351,43.2602,37.8625,53.7413,70.0585,1266.7963,52.093,51.2532
19.78306011,3.3011,24.9302,43.2585,37.821,53.7414,70.0585,1266.5288,52.1065,51.2474
19.88373728,3.3011,24.9263,43.2564,37.886,53.7539,70.0585,1266.1248,52.0904,51.2478
19.98441439,3.3015,24.9258,43.2482,37.9234,53.7502,70.0585,1266.4777,52.0921,51.2555
20.08509156,3.3016,24.9264,43.2459,37.9486,53.7562,70.058,1266.0964,52.108,51.2465
20.18576878,3.3012,24.9291,43.2583,37.9532,53.7513,70.0575,1265.9939,52.1734,51.2366
20.28644656,3.3009,24.9297,43.2477,37.9345,53.7441,70.057,1265.9427,52.2096,51.2273
20.38712364,3.301,24.9318,43.2454,37.962,53.7211,70.0555,1265.863,52.2228,51.2335
20.48780078,3.3013,24.9362,43.2393,37.9712,53.7138,70.055,1265.8459,52.2381,51.251
20.58847789,3.3011,24.9399,43.2233,37.9423,53.7213,70.055,1265.7548,52.2191,51.2603
20.68915514,3.301,24.9436,43.219,37.9932,53.7175,70.0555,1265.8857,52.2433,51.2593
20.78983042,3.3006,24.9459,43.2207,38.0368,53.7095,70.0555,1265.8743,52.2405,51.2634
20.89050767,3.3002,24.9474,43.235,38.0282,53.7052,70.0555,1266.1304,52.2681,51.2647
20.99118489,3.2998,24.9481,43.2389,38.0185,53.7085,70.0555,1265.5158,52.2632,51.2631
21.09186225,3.2994,24.9486,43.2339,38.0072,53.7117,70.056,1265.6694,52.2403,51.282
21.19253933,3.2996,24.9505,43.2235,38.2873,53.7168,70.0565,1265.7434,52.231,51.29
21.293216,3.2991,24.952,43.2488,38.3214,53.7182,70.057,1265.5727,52.2262,51.305
21.39389325,3.2994,24.954,43.2571,38.2669,53.7482,70.0585,1265.8914,52.2183,51.3093
21.49457028,3.2995,24.9534,43.2401,38.2908,53.7546,70.0595,1266.0678,52.1794,51.3107
21.59524747,3.2994,24.9517,43.2395,38.2933,53.7377,70.06,1266.3865,52.2411,51.297
21.69592453,3.2989,24.9515,43.2489,38.2826,53.7469,70.06,1266.4206,52.2246,51.3053
21.796602,3.299,24.9529,43.264,38.2578,53.7566,70.061,1266.4889,52.2325,51.3041
21.89727933,3.2991,24.9549,43.2541,38.2454,53.7644,70.062,1266.6368,52.1823,51.314
21.99795636,3.299,24.9555,43.2523,38.2134,53.7654,70.062,1266.6823,52.1877,51.3179
22.09863333,3.2992,24.9567,43.2595,38.2054,53.7564,70.062,1266.8872,52.2222,51.3083
22.19931047,3.2995,24.9588,43.2818,37.9066,53.7621,70.0615,1266.8815,52.2084,51.3084
22.29998775,3.3001,24.9591,43.2697,37.882,53.7704,70.062,1267.1205,52.1801,51.306
22.40066494,3.2996,24.9605,43.2543,37.8651,53.7705,70.0615,1266.9612,52.1718,51.3068
22.50134217,3.2992,24.9625,43.2709,37.8663,53.7729,70.0615,1267.058,52.1921,51.3103
22.60201925,3.2996,24.9657,43.2868,37.8935,53.78,70.0615,1266.9101,52.1586,51.3162
22.70269653,3.2997,24.9705,43.2825,37.8906,53.7737,70.0615,1267.2345,52.1582,51.3095
22.80337342,3.2999,24.9731,43.2672,37.9138,53.7727,70.0615,1267.4451,52.1557,51.3174
22.90405056,3.3002,24.9755,43.269,37.9101,53.7684,70.0595,1267.3484,52.1725,51.3161
23.00472775,3.3002,24.9784,43.278,37.9231,53.7717,70.0595,1267.5362,52.1743,51.3105
23.10540478,3.3003,24.9813,43.2613,37.9105,53.7737,70.06,1267.1435,52.1388,51.3154
23.206082,3.3,24.9806,43.2528,37.9166,53.7747,70.06,1266.9387,52.1276,51.3179
23.30675894,3.2993,24.9818,43.2675,37.9134,53.7659,70.0595,1267.0525,52.1577,51.3129
23.40743597,3.2996,24.9833,43.2659,37.942,53.7605,70.06,1266.6655,52.1425,51.3098
23.50811314,3.2998,24.9839,43.2493,37.9226,53.7575,70.06,1266.6427,52.1413,51.3066
23.60879044,3.2996,24.9857,43.2583,37.9032,53.754,70.06,1266.4719,52.156,51.301
23.70946761,3.2995,24.9841,43.2685,37.8866,53.7591,70.06,1266.267,52.1575,51.2973
23.81014489,3.2987,24.9835,43.2775,37.89,53.7551,70.06,1265.9711,52.1431,51.2829
23.91082189,3.2983,24.9828,43.2619,37.9041,53.7428,70.061,1265.7605,52.1386,51.2694
24.01149914,3.2979,24.9814,43.2551,37.8998,53.7456,70.061,1265.6751,52.1356,51.2797
24.11217639,3.2976,24.982,43.2835,37.9311,53.7467,70.0605,1265.8515,52.1584,51.2685
24.21285358,3.297,24.9862,43.2966,37.9469,53.7472,70.061,1265.8173,52.1463,51.2705
24.31353078,3.2972,24.9908,43.2755,37.9935,53.7568,70.061,1265.5783,52.0986,51.2853
24.41420794,3.2967,24.9933,43.2865,38.0069,53.7526,70.061,1266.0051,52.1263,51.2787
24.51488508,3.2964,24.9973,43.2995,37.9924,53.7413,70.061,1265.988,52.1428,51.273
24.61556211,3.2963,25.0003,43.2864,37.9924,53.7492,70.0605,1266.1758,52.1214,51.2783
24.71623908,3.2959,25.0028,43.2704,37.9671,53.7514,70.0605,1266.1872,52.1141,51.2861
24.81691608,3.2962,25.0049,43.2792,38.0013,53.7444,70.0595,1266.375,52.1577,51.2909
24.91759325,3.296,25.0067,43.3041,38.0003,53.7501,70.06,1266.6766,52.1984,51.2946
25.01827022,3.2961,25.0099,43.2989,38.0292,53.7436,70.0605,1266.9669,52.1977,51.2827
25.11894744,3.2965,25.0087,43.2815,38.0114,53.7408,70.0605,1267.0466,52.2114,51.2973
25.21962458,3.2963,25.0058,43.284,38.0176,53.7112,70.06,1267.2173,52.322,51.2833
25.32030164,3.296,25.0012,43.3043,37.9883,53.7074,70.06,1267.3425,52.3339,51.2747
25.42097881,3.2953,24.9979,43.2961,37.9654,53.6954,70.06,1267.0921,52.372,51.2778
25.52165608,3.2949,24.9933,43.2797,37.954,53.7089,70.0605,1266.8645,52.3402,51.288
25.62233336,3.2946,24.9876,43.2749,38.0306,53.6936,70.0605,1266.5914,52.39,51.2872
25.72301069,3.2949,24.9815,43.2769,38.0427,53.6846,70.0605,1266.4264,52.4067,51.2817
25.823688,3.2951,24.9746,43.2542,37.9627,53.6901,70.0615,1266.0906,52.3735,51.2814
25.92436511,3.2953,24.9682,43.2393,38.0136,53.6952,70.061,1266.1191,52.3441,51.2968
26.02504244,3.2947,24.9609,43.2518,38.0157,53.6928,70.0605,1265.863,52.3773,51.3044
26.12571958,3.2941,24.956,43.2601,38.0388,53.6991,70.062,1265.6468,52.3618,51.3039
26.22639675,3.2938,24.9484,43.2388,38.0203,53.7257,70.063,1265.5785,52.2614,51.3066
26.32707392,3.2937,24.9423,43.2304,38.0445,53.6649,70.063,1265.5614,52.3256,51.3113
26.42775108,3.2942,24.9368,43.2336,38.06,53.6767,70.063,1265.7321,52.2739,51.3059
26.52842808,3.2942,24.9308,43.2436,38.0666,53.6605,70.0625,1265.8858,52.3353,51.298
26.62910517,3.2941,24.9254,43.2297,37.9936,53.6743,70.0635,1265.9427,52.2593,51.3065
26.72978222,3.2939,24.9199,43.2179,37.97,53.6843,70.063,1266.1134,52.2471,51.3133
26.83045936,3.2935,24.9158,43.2294,37.9517,53.6807,70.0635,1266.3922,52.2694,51.3114
26.93113658,3.2932,24.9106,43.2255,37.9061,53.6746,70.064,1266.3182,52.2961,51.2988
27.03181369,3.2935,24.9072,43.2039,37.8716,53.6736,70.064,1266.1759,52.2577,51.2913
27.13249092,3.2935,24.9021,43.2005,37.8387,53.6683,70.0635,1266.0507,52.282,51.285
27.23316814,3.2939,24.8992,43.2137,37.8302,53.6585,70.0635,1265.9369,52.3233,51.2743
